strategy,price_hydro [$/kWh],price_solar [$/kWh],price_wind [$/kWh],price_thermal [$/kWh],price_cogen [$/kWh],co2_hydro [kg/kWh],co2_solar [kg/kWh],co2_wind [kg/kWh],co2_thermal [kg/kWh],co2_cogen [kg/kWh],wind_capacity [kW],solar_capacity [kW],cost_conventional [$],co2_conventional [kg],original_cost_new_param [$],original_co2_new_param [kg]
cost_conventional,72.60000000000001,61.568999999999996,81.873,108.0,63.65,22.799999999999997,41.0,12.100000000000001,550.0,195.3,1434293.36956729,5983018.20203837,10800820991036.72,7786507625125.876,11550770351752.006,15549120809464.826
co2_conventional,72.60000000000001,61.568999999999996,81.873,108.0,63.65,22.799999999999997,41.0,12.100000000000001,550.0,195.3,6687836.86737575,1361366.47802907,11266864245633.094,4437210154224.242,11550770351752.006,15549120809464.826
cost_conventional,72.60000000000001,61.568999999999996,100.06700000000001,132.0,63.65,24.0,43.050000000000004,10.45,550.0,195.3,32709.3643550706,6878199.15089974,11127425576118.568,10817725292090.97,12095905326176.967,15698748031888.303
co2_conventional,72.60000000000001,61.568999999999996,100.06700000000001,132.0,63.65,24.0,43.050000000000004,10.45,550.0,195.3,6787708.40895158,1263757.99431443,12281272396196.578,4471180954558.211,12095905326176.967,15698748031888.303
cost_conventional,72.60000000000001,64.98949999999999,90.97,114.0,67.0,25.200000000000003,38.949999999999996,10.45,550.0,217,32709.3643550706,6878199.15089974,11024489941853.66,10853333314683.03,11696816410535.645,15873995504027.963
co2_conventional,72.60000000000001,64.98949999999999,90.97,114.0,67.0,25.200000000000003,38.949999999999996,10.45,550.0,217,6725184.98465868,1324864.65738965,11774338515912.367,4562510037521.617,11696816410535.645,15873995504027.963
cost_conventional,62.699999999999996,61.568999999999996,100.06700000000001,108.0,70.35000000000001,25.200000000000003,43.050000000000004,9.9,605.0,195.3,32709.3643550685,6878199.15089974,9832412773547.555,11458667493850.352,10346229881513.293,17086822344925.541
co2_conventional,62.699999999999996,61.568999999999996,100.06700000000001,108.0,70.35000000000001,25.200000000000003,43.050000000000004,9.9,605.0,195.3,6738094.06042688,1312248.09723638,11334190385702.963,4696021070226.031,10346229881513.293,17086822344925.541
cost_conventional,69.3,75.251,86.4215,108.0,70.35000000000001,22.799999999999997,43.050000000000004,12.100000000000001,605.0,238.70000000000002,1564112.1098605,2097386.20960102,10836231134399.55,8044175151830.825,11170922749192.5,16856297016862.309
cost_conventional,62.699999999999996,61.568999999999996,95.5185,126.0,60.300000000000004,21.6,38.949999999999996,12.100000000000001,495.0,217.0,32709.3643550737,6878199.15089974,10033784184535.93,9824917847956.455,10736360035539.465,14190808057698.22
co2_conventional,69.3,75.251,86.4215,108.0,70.35000000000001,22.799999999999997,43.050000000000004,12.100000000000001,605.0,238.70000000000002,6663528.28306975,1385124.23742599,11292713607968.799,4616451133267.586,11170922749192.5,16856297016862.309
co2_conventional,62.699999999999996,61.568999999999996,95.5185,126.0,60.300000000000004,21.6,38.949999999999996,12.100000000000001,495.0,217.0,6693830.98429394,1355508.18592341,11132942259929.746,4182479184037.631,10736360035539.465,14190808057698.22
cost_conventional,59.4,68.41,95.5185,132.0,60.300000000000004,24.0,38.949999999999996,9.9,495.0,227.85000000000002,1256738.97689892,2476268.89633317,9867324669136.646,7756319715909.785,10473271546231.54,14501779588818.832
cost_conventional,66.0,71.8305,86.4215,120,60.300000000000004,24.0,36.9,11.0,522.5,217.0,1773039.51170452,2292237.12807141,10482005405695.625,7234984262725.056,11016740127776.97,15103878565625.697
co2_conventional,59.4,68.41,95.5185,132.0,60.300000000000004,24.0,38.949999999999996,9.9,495.0,227.85000000000002,6806489.35543841,1245402.61819446,10929483173133.77,4286382681712.255,10473271546231.54,14501779588818.832
co2_conventional,66.0,71.8305,86.4215,120,60.300000000000004,24.0,36.9,11.0,522.5,217.0,6692165.47869693,1357135.95168509,11010411727989.871,4398707576665.146,11016740127776.97,15103878565625.697
cost_conventional,62.699999999999996,71.8305,95.5185,126.0,70.35000000000001,22.799999999999997,43.050000000000004,11.55,577.5,195.3,1206954.42326725,2396853.84846567,10257881792907.432,8455689351798.78,10762783376344.314,16171565759829.227
cost_conventional,66.0,64.98949999999999,81.873,114.0,70.35000000000001,26.400000000000002,38.949999999999996,12.100000000000001,522.5,206.14999999999998,1760591.33812374,5757570.97398377,10276515896219.713,7239897401068.5,10887679052227.938,15385665642433.885
co2_conventional,62.699999999999996,71.8305,95.5185,126.0,70.35000000000001,22.799999999999997,43.050000000000004,11.55,577.5,195.3,6701644.15206459,1347872.06208806,11203723808099.852,4495214215771.862,10762783376344.314,16171565759829.227
co2_conventional,66.0,64.98949999999999,81.873,114.0,70.35000000000001,26.400000000000002,38.949999999999996,12.100000000000001,522.5,206.14999999999998,6726946.79484159,1323142.76927384,10730270876997.963,4673997716824.572,10887679052227.938,15385665642433.885
cost_conventional,72.60000000000001,71.8305,95.5185,126.0,70.35000000000001,26.400000000000002,36.9,10.45,495.0,238.70000000000002,1200768.87354966,6144365.97426918,11369733562734.873,8101485525883.617,11981077277656.844,14811026728337.184
cost_conventional,72.60000000000001,71.8305,100.06700000000001,114.0,63.65,21.6,43.050000000000004,11.0,577.5,195.3,32709.3643550737,6878199.15089974,11237554705484.113,10902155324334.898,11701438103734.008,16023778350399.707
co2_conventional,72.60000000000001,71.8305,95.5185,126.0,70.35000000000001,26.400000000000002,36.9,10.45,495.0,238.70000000000002,6780235.81501066,1271061.2616164,12092586747447.367,4518948398269.571,11981077277656.844,14811026728337.184
co2_conventional,72.60000000000001,71.8305,100.06700000000001,114.0,63.65,21.6,43.050000000000004,11.0,577.5,195.3,6701644.15206456,1347872.06208809,12273415238293.508,4361371104176.915,11701438103734.008,16023778350399.707
cost_conventional,59.4,75.251,86.4215,114.0,67.0,22.799999999999997,45.1,10.45,522.5,238.70000000000002,1555472.09525014,1571714.08970195,9696329591788.506,7673006330861.093,10082990410858.33,14997475631661.422
cost_conventional,62.699999999999996,68.41,81.873,114.0,73.7,26.400000000000002,43.050000000000004,12.100000000000001,550.0,217.0,1828146.45708809,2289366.69104556,9979368895834.879,7517949009149.633,10490388865392.07,16026616753362.0
